hour,run_id,pipeline,call_count,tokens_total,tokens_input,tokens_output,tokens_cached,models,source_type
2026-03-04 06:00,ea98da2dd13f4c2c91b8045a61614716,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,cd6d62672ed248f38fa642a325d2a47d,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,2a318781264a4ea887224d3733abd942,recipe.chunking.v1,30,426397,369706,56691,178688,gpt-5.3-codex-spark,worker
2026-03-04 06:00,99209d71ccda4ea5aeda4a3bbcc527fa,recipe.chunking.v1,67,1210259,865836,344423,366080,gpt-5.3-codex-spark,worker
2026-03-04 06:00,46eeae61acfd4ad6a67f18786f2cca87,recipe.schemaorg.v1,30,423071,289446,133625,144384,gpt-5.3-codex-spark,worker
2026-03-04 06:00,22b856e401044f12a15aadca45853509,recipe.chunking.v1,20,266841,244941,21900,112640,gpt-5.3-codex-spark,worker
2026-03-04 06:00,1797f899eb1043438ca8e802794fdb57,recipe.schemaorg.v1,20,309806,164228,145578,101376,gpt-5.3-codex-spark,worker
2026-03-04 06:00,01f9bd92650f47bd820b72287364f577,recipe.chunking.v1,3,3486,3486,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,ff34d285b229465caf51e2819ed59806,recipe.schemaorg.v1,67,151134,151134,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,e3b25edaf2364191b59384262493d520,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,60b9aa26d6c94d0da6ad2c6ecdd985fe,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,2ed3edbd57e44193b254fbc8bbc19815,recipe.final.v1,2,3476,3476,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,ceb0d63a9936422fa3b9d1db9870ee9f,recipe.final.v1,16,21159,21159,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,e5d02f3dbc9b437facdb020d3d2c0068,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,a621fc10180e4515a36bd08801643678,recipe.chunking.v1,3,3480,3480,0,0,gpt-5.3-codex-spark,worker
2026-03-04 06:00,d5cd4b3730db43a6a7c881556fb9ceb0,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,1d01ca1d9c464e9eb050d84aa61f6385,recipe.chunking.v1,94,644288,644288,0,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,cd3d228aaa9840748d4b2c8146fd7805,recipe.chunking.v1,92,635080,635080,0,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,96a43a17e6cc45c6a3bfc96afcfd0ffa,recipe.chunking.v1,2,14822,13634,1188,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,01337ca6df264859a05948584b56dde3,recipe.schemaorg.v1,2,17704,14274,3430,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,721aad7e174e4b66887e4997d2a03bdb,recipe.final.v1,2,1556556,1537752,18804,1414912,gpt-5.3-codex-spark,worker
2026-03-04 05:00,d0516043c7b242b1854920e331ecb3e4,recipe.chunking.v1,2,15618,13634,1984,0,gpt-5.3-codex-spark,worker
